harness,batch,session_id,cwd,project_key,call_id,ordinal,command,command_safe,command_sha256,command_norm_sha256,first_token,verb,subcommand,compound,pipe,heredoc,substitution,machine_format,result_bytes,result_lines,result_nonempty_lines,result_unique_lines,result_max_line_bytes,result_sha256,exit_code,is_error,result_missing
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_0198ESnyc4zSJvMnPUHx5ZMK,1,"sed -n '/CTRL SHIPPED/,/^## /p' ~/agent-core/primitives/rules/control-flow.md | head -80","sed -n '/CTRL SHIPPED/,/^## /p' ~/agent-core/primitives/rules/control-flow.md | head -80",3aea3bca861c4160894d20e7bddca3432f82e9405d51fd6ee27eac932ed5ecfc,3aea3bca861c4160894d20e7bddca3432f82e9405d51fd6ee27eac932ed5ecfc,sed,sed,,0,1,0,0,0,570,10,9,9,84,31af5cbdbb8df607ea82f43abbb336d688ac8e2051da0ad81bdb144d7357aad2,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_017hFnmcKjRn5cZoRQ66DfCi,2,"wc -l ~/herdr-spine/bin/ctl-fleet ~/herdr-spine/docs/ctl-fleet.md 2>&1; echo ""---""; cd ~/herdr-spine && git status --porcelain | head -20","wc -l ~/herdr-spine/bin/ctl-fleet ~/herdr-spine/docs/ctl-fleet.md 2>&1; echo ""---""; cd ~/herdr-spine && git status --porcelain | head -20",30d729b28e1452371caa84b607a74af5e619a849159cf1490b8fc2fc7007d46e,30d729b28e1452371caa84b607a74af5e619a849159cf1490b8fc2fc7007d46e,wc,wc,,1,1,0,0,1,511,19,19,19,41,385b2c127bef0f9378b2ec74395938f74134054530c1a4f58b37081779527cdb,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_01SgAL9V1tQZ3QF8VTFifJdT,3,"cd ~/herdr-spine && grep -n ""WORK\|plane\|cwd\|^[a-z_]*()\|^# \|render\|section"" bin/ctl-fleet | head -60","cd ~/herdr-spine && grep -n ""WORK\|plane\|cwd\|^[a-z_]*()\|^# \|render\|section"" bin/ctl-fleet | head -60",716afde558db6667bc1b252250de134480b5df0ae88de05f1482b2ff77fbd019,716afde558db6667bc1b252250de134480b5df0ae88de05f1482b2ff77fbd019,cd,cd,,1,1,0,0,0,1052,61,41,40,88,76f57d6e91f08049a5261eb3e6bb694406d82ea945cbfee2a429a130c8bf5974,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_01VQNutrUNc7GKqKdmPiYaV8,4,"cd ~/herdr-spine && echo ""=== herdr-spine 24h ==="" && git log --since=24.hours --format='%h %s' | cat && echo ""--- stat rollup ---"" && git log --since=24.hours --shortstat --format='%h' | cat | tail -30","cd ~/herdr-spine && echo ""=== herdr-spine 24h ==="" && git log --since=24.hours --format='%h %s' | cat && echo ""--- stat rollup ---"" && git log --since=24.hours --shortstat --format='%h' | cat | tail -30",c3a4a778acf1b362565225552559e38f92d02199a4dad08e238e666cae5a013e,c3a4a778acf1b362565225552559e38f92d02199a4dad08e238e666cae5a013e,cd,cd,,1,1,0,0,0,1263,39,30,30,82,4a59dca9a9713b68f64059af76d31c7fc7d8282eff707897426ceab4e60c92a4,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_01AVfXfNtVs3noYXRijiuHKx,5,"for r in ~/agent-core ~/future ~/circadian; do echo ""=== $r ===""; git -C $r log --since=24.hours --format='%h %s' 2>&1 | cat; echo ""-- dirty: $(git -C $r status --porcelain 2>/dev/null | grep -c '^ *[MADRC]')""; echo ""-- madewell: $([ -d $r/.madewell ] && echo yes || echo no)""; done","for r in ~/agent-core ~/future ~/circadian; do echo ""=== $r ===""; git -C $r log --since=24.hours --format='%h %s' 2>&1 | cat; echo ""-- dirty: $(git -C $r status --porcelain 2>/dev/null | grep -c '^ *[MADRC]')""; echo ""-- madewell: $([ -d $r/.madewell ] && echo yes || echo no)""; done",349496cd2924d484075c30f7736e4d35f2ce6acd28523a0447bc7c27deaa6374,349496cd2924d484075c30f7736e4d35f2ce6acd28523a0447bc7c27deaa6374,for,for,,1,1,0,1,0,452,14,13,12,82,d73f84f8b2f71bfa6b83d7937bfb9c6a22739df91dd9b0b40b8421b06ddb707a,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_017k1igKkmaN8XxvHoJZPfUx,6,"herdr pane list 2>/dev/null | python3 -c ""
import json,sys
d=json.load(sys.stdin)
for p in d.get('result',{}).get('panes',[]):
    l=(p.get('label') or '').strip()
    if 'CTRL' in l.upper() or 'ctl-fleet' in str(p.get('command','')):
        print(p.get('pane_id'), '|', l, '|', p.get('cwd'), '|', p.get('workspace_id'))
""","herdr pane list 2>/dev/null | python3 -c ""
import json,sys
d=json.load(sys.stdin)
for p in d.get('result',{}).get('panes',[]):
    l=(p.get('label') or '').strip()
    if 'CTRL' in l.upper() or 'ctl-fleet' in str(p.get('command','')):
        print(p.get('pane_id'), '|', l, '|', p.get('cwd'), '|', p.get('workspace_id'))
""",c4bb8d9df0d9fc11c74a0bb9de3b2740133f29513a70a243d16e180f35d207a5,60d5b3e81bc976be6dfb16d854483d82e6729c39fc8710f81ecb3e8e80208c81,herdr,herdr,pane,1,1,0,0,1,105,2,2,2,54,990a3af29dad7055caa3180d06eb84393a8444a1fca8bf1357f9730cfa9b1795,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_01F8DRFjGq9QumFEXeKjb9ds,7,cd ~/herdr-spine && git log --since=24.hours --numstat --format='%x00%h%x1f%s' | head -20,cd ~/herdr-spine && git log --since=24.hours --numstat --format='%x00%h%x1f%s' | head -20,5f15b0b85fc4babaef73f2350c1d90cc81c97e92aa70a12202b565edc511c233,5f15b0b85fc4babaef73f2350c1d90cc81c97e92aa70a12202b565edc511c233,cd,cd,,1,1,0,0,0,708,21,15,15,82,c12200195dbabd0435a5a3e6b123836c87e92edfa188d753d3ca4c43960fcdcc,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_014xDBTuZnApj9Vcacz4LUwg,8,"herdr pane list 2>/dev/null | python3 -c ""
import json,sys
d=json.load(sys.stdin)
for p in d.get('result',{}).get('panes',[]):
    if p.get('pane_id') in ('w1A:pY','w1E:p3'):
        print(json.dumps({k:p.get(k) for k in ('pane_id','label','cwd','command','argv','tab_id','workspace_id','process_title','terminal_title')}, indent=1))
""","herdr pane list 2>/dev/null | python3 -c ""
import json,sys
d=json.load(sys.stdin)
for p in d.get('result',{}).get('panes',[]):
    if p.get('pane_id') in ('w1A:pY','w1E:p3'):
        print(json.dumps({k:p.get(k) for k in ('pane_id','label','cwd','command','argv','tab_id','workspace_id','process_title','terminal_title')}, indent=1))
""",f2c20521a29f41e237e7f1198afa619963cec209541498fe61da47211be1d5ab,0973bbd82fc4f6f97bc4cdd0b858f22149445a358691043213045534ce232696,herdr,herdr,pane,1,1,0,0,1,423,22,22,15,33,6e0ea9c36ab9886f3697cfa09d5f45eefa445006d0d8cc1ecfb2c41371e21025,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_01HJjcMcTeDduPPDusCKzJDV,9,grep -n '^#\|^##\|^###' ~/herdr-spine/docs/ctl-fleet.md,grep -n '^#\|^##\|^###' ~/herdr-spine/docs/ctl-fleet.md,1ec6ae505ab66d957bc862f84c0af1cc3452eb27afa4bf5b3dffe17554a12345,1ec6ae505ab66d957bc862f84c0af1cc3452eb27afa4bf5b3dffe17554a12345,grep,grep,,0,1,0,0,0,354,13,12,12,53,dd1c61545f82780f3ad01cc8e6a7189036a9dd34d9bb827c75b084472ff0bcf3,,0,0
cc,1,97502dbf-00c7-46e2-977a-2c0cf1955ca5,/Users/jrg/future,-Users-jrg-future,toolu_01SAreEtEbaiXoYxsWq3VYc1,10,"sed -n '1,80p' ~/herdr-spine/docs/spawn.md","sed -n '1,80p' ~/herdr-spine/docs/spawn.md",f56c7cde3c9d77cf95393300068a17ba4bd76418abdf80de098f4a64bfb43e65,f56c7cde3c9d77cf95393300068a17ba4bd76418abdf80de098f4a64bfb43e65,sed,sed,,0,0,0,0,0,4380,79,67,67,79,8d0476c22e2ce644e0a7ade7f190fe72728efcf93023788de1ad21578c588620,,0,0
